iter	RMSE
0	2.269547218
1	2.137046023
2	2.016734817
3	1.916632448
4	1.829713748
5	1.747836729
6	1.680329541
7	1.622219265
8	1.575374923
9	1.52793363
10	1.486086675
11	1.450822461
12	1.421239265
13	1.394300823
14	1.367424624
15	1.348850287
16	1.330885744
17	1.313032276
18	1.296472467
19	1.284475849
20	1.271809558
21	1.262988342
22	1.25247373
23	1.244262858
24	1.234604886
25	1.227071158
26	1.220743741
27	1.21555662
28	1.209943495
29	1.204987703
30	1.200335367
31	1.196646037
32	1.191666717
33	1.18780915
34	1.184486538
35	1.18174924
36	1.17824667
37	1.175141495
38	1.170896531
39	1.168770473
40	1.166757162
41	1.163388967
42	1.160648914
43	1.158461362
44	1.154886702
45	1.153330813
46	1.152981758
47	1.150902511
48	1.148320039
49	1.146092717
50	1.143813005
51	1.142204841
52	1.140825684
53	1.138227133
54	1.136637186
55	1.135443963
56	1.133959833
57	1.131864745
58	1.129539275
59	1.128117858
60	1.126139194
61	1.124057373
62	1.123572417
63	1.121953768
64	1.119735657
65	1.118711621
66	1.116611557
67	1.114635288
68	1.113253121
69	1.110807243
70	1.109123896
71	1.108866884
72	1.108350799
73	1.106984321
74	1.106236418
75	1.106043767
76	1.102911971
77	1.100249934
78	1.099128515
79	1.097491872
80	1.097005763
81	1.095323519
82	1.094157234
83	1.09231054
84	1.091145744
85	1.091008298
86	1.090389973
87	1.088611281
88	1.086489548
89	1.084853678
90	1.084658683
91	1.083870849
92	1.082443264
93	1.080322195
94	1.080171911
95	1.078788679
96	1.077716672
97	1.076922526
98	1.074654993
99	1.074416057
100	1.070894769
101	1.069507485
102	1.068115011
103	1.066490312
104	1.065222868
105	1.063268997
106	1.062115394
107	1.060524445
108	1.0603214
109	1.059960938
110	1.05823597
111	1.05731272
112	1.057254585
113	1.057140769
114	1.055746386
115	1.053692501
116	1.051181139
117	1.050594607
118	1.048339502
119	1.047045541
120	1.045138794
121	1.044220605
122	1.043216904
123	1.040771344
124	1.040645774
125	1.040172402
126	1.038424265
127	1.037025434
128	1.036259983
129	1.034164217
130	1.031710788
131	1.03045569
132	1.029289846
133	1.027617274
134	1.026863904
135	1.025477398
136	1.023459939
137	1.023325682
138	1.021408253
139	1.019955324
140	1.018505677
141	1.01739647
142	1.015636226
143	1.014632023
144	1.013119331
145	1.011039009
146	1.01042422
147	1.009046588
148	1.007494302
149	1.005596477
150	1.004058196
151	1.003144159
152	1.002073308
153	1.000265629
154	0.9984002015
155	0.9972028322
156	0.9967111081
157	0.9962048175
158	0.9949775931
159	0.9926966544
160	0.9916958907
161	0.9896425675
162	0.9883917921
163	0.9878555766
164	0.9866359178
165	0.9852717031
166	0.9842606145
167	0.9837369677
168	0.982908627
169	0.9814271008
