iter	Passed	Remaining
0	120	120029
1	199	99763
2	317	105630
3	410	102141
4	480	95536
5	579	96044
6	700	99379
7	754	93522
8	852	93816
9	920	91083
10	1035	93085
11	1135	93468
12	1229	93358
13	1282	90325
14	1351	88760
15	1450	89235
16	1559	90202
17	1646	89803
18	1720	88835
19	1800	88211
20	1897	88469
21	1996	88745
22	2076	88212
23	2185	88868
24	2290	89337
25	2372	88870
26	2429	87546
27	2497	86682
28	2599	87030
29	2682	86719
30	2766	86480
31	2858	86459
32	2997	87845
33	3081	87555
34	3165	87274
35	3262	87367
36	3367	87636
37	3479	88094
38	3579	88211
39	3658	87798
40	3724	87119
41	3831	87388
42	3960	88134
43	4052	88041
44	4128	87610
45	4219	87515
46	4291	87022
47	4378	86831
48	4445	86284
49	4504	85592
50	4581	85248
51	4679	85311
52	4782	85460
53	4886	85602
54	4976	85506
55	5074	85533
56	5230	86537
57	5330	86574
58	5430	86607
59	5532	86671
60	5640	86827
61	5736	86794
62	5842	86893
63	5936	86815
64	6036	86834
65	6127	86709
66	6249	87020
67	6364	87237
68	6489	87554
69	6616	87907
70	6692	87563
71	6776	87342
72	6877	87328
73	6958	87076
74	7042	86853
75	7122	86595
76	7195	86246
77	7275	85995
78	7352	85714
79	7501	86267
80	7608	86328
81	7676	85934
82	7747	85599
83	7839	85489
84	7932	85395
85	7969	84701
86	8055	84537
87	8131	84270
88	8221	84158
89	8296	83891
90	8394	83852
91	8497	83869
92	8553	83419
93	8645	83328
94	8739	83255
95	8842	83269
96	8920	83046
97	9001	82854
98	9105	82866
99	9195	82758
100	9320	82961
101	9416	82901
102	9507	82796
103	9602	82729
104	9730	82938
105	9825	82864
106	9913	82737
107	10002	82613
108	10134	82844
109	10260	83013
110	10377	83116
111	10457	82916
112	10576	83020
113	10651	82784
114	10736	82623
115	10823	82478
116	10897	82243
117	10979	82068
118	11070	81961
119	11149	81761
120	11216	81480
121	11282	81197
122	11377	81119
123	11479	81100
124	11583	81085
125	11673	80972
126	11745	80740
127	11846	80706
128	11946	80663
129	12029	80502
130	12150	80603
131	12220	80357
132	12312	80263
133	12410	80205
134	12541	80358
135	12674	80517
136	12760	80379
137	12860	80333
138	12992	80480
139	13094	80439
140	13198	80409
141	13295	80336
142	13363	80086
143	13467	80057
144	13540	79840
145	13623	79691
146	13704	79524
147	13784	79356
148	13885	79306
149	13975	79193
150	14093	79239
151	14194	79190
152	14256	78921
153	14357	78875
154	14441	78731
155	14538	78657
156	14635	78586
157	14719	78443
158	14822	78399
159	14925	78356
160	15030	78324
161	15142	78328
162	15232	78216
163	15323	78110
164	15410	77986
165	15507	77912
166	15572	77673
167	15666	77586
168	15757	77481
169	15841	77343
170	15938	77266
171	16031	77176
172	16142	77167
173	16249	77140
174	16339	77027
175	16468	77101
176	16577	77081
177	16654	76912
178	16726	76719
179	16830	76672
180	16931	76612
181	17030	76544
182	17132	76488
183	17204	76299
184	17274	76100
185	17360	75974
186	17459	75906
187	17560	75844
188	17648	75727
189	17728	75581
190	17829	75518
191	17919	75411
192	17992	75234
193	18055	75012
194	18119	74802
195	18186	74603
196	18265	74453
197	18361	74371
198	18449	74263
199	18521	74084
200	18594	73915
201	18737	74022
202	18853	74018
203	18939	73903
204	18993	73656
205	19061	73468
206	19147	73352
207	19210	73149
208	19275	72951
209	19380	72906
210	19479	72840
211	19580	72781
212	19673	72688
213	19756	72561
214	19857	72503
215	19959	72445
216	20057	72372
217	20148	72274
218	20241	72185
219	20323	72055
220	20443	72060
221	20545	72002
222	20649	71948
223	20740	71851
224	20823	71724
225	20986	71875
226	21098	71845
227	21176	71701
228	21256	71567
229	21334	71424
230	21435	71360
231	21536	71292
232	21613	71149
233	21703	71047
234	21772	70876
235	21871	70803
236	21965	70715
237	22050	70600
238	22157	70553
239	22231	70398
240	22325	70310
241	22423	70236
242	22531	70189
243	22640	70149
244	22734	70058
245	22835	69991
246	22949	69963
247	23053	69903
248	23160	69853
249	23287	69863
250	23362	69714
251	23424	69530
252	23538	69500
253	23656	69478
254	23744	69369
255	23849	69311
256	23967	69292
257	24063	69204
258	24163	69131
259	24267	69070
260	24359	68970
261	24468	68921
262	24562	68831
263	24674	68788
264	24768	68696
265	24877	68646
266	24979	68575
267	25063	68457
268	25134	68302
269	25220	68187
270	25322	68117
271	25416	68026
272	25512	67940
273	25594	67816
274	25666	67665
275	25773	67608
276	25878	67545
277	25965	67435
278	26076	67388
279	26165	67283
280	26243	67148
281	26313	66995
282	26410	66912
283	26501	66814
284	26610	66760
285	26664	66567
286	26735	66419
287	26831	66333
288	26934	66264
289	27015	66141
290	27097	66021
291	27178	65898
292	27249	65752
293	27337	65648
294	27439	65575
295	27543	65509
296	27679	65517
297	27836	65575
298	27904	65421
299	28004	65344
300	28112	65284
301	28205	65189
302	28291	65080
303	28375	64965
304	28476	64888
305	28570	64797
306	28669	64716
307	28751	64597
308	28809	64425
309	28887	64298
310	28991	64228
311	29093	64154
312	29211	64114
313	29287	63984
314	29389	63911
315	29480	63812
316	29576	63724
317	29665	63622
318	29771	63557
319	29856	63446
320	29981	63418
321	30088	63354
322	30175	63246
323	30259	63133
324	30349	63034
325	30442	62939
326	30546	62867
327	30642	62779
328	30737	62689
329	30821	62577
330	30924	62502
331	31028	62429
332	31107	62307
333	31194	62203
334	31292	62118
335	31381	62015
336	31477	61927
337	31580	61853
338	31690	61790
339	31774	61680
340	31849	61550
341	31950	61471
342	32051	61392
343	32171	61350
344	32276	61277
345	32343	61134
346	32409	60989
347	32510	60910
348	32606	60821
349	32681	60693
350	32779	60609
351	32857	60488
352	32917	60333
353	33012	60243
354	33116	60170
355	33205	60067
356	33284	59948
357	33388	59875
358	33481	59782
359	33581	59700
360	33659	59580
361	33710	59413
362	33789	59294
363	33864	59169
364	33978	59113
365	34099	59068
366	34215	59014
367	34319	58940
368	34465	58936
369	34561	58847
370	34630	58713
371	34734	58636
372	34829	58547
373	34900	58416
374	34991	58318
375	35089	58233
376	35185	58145
377	35269	58035
378	35362	57942
379	35445	57832
380	35533	57730
381	35627	57638
382	35736	57571
383	35812	57448
384	35917	57374
385	35992	57252
386	36082	57153
387	36193	57088
388	36281	56987
389	36380	56903
390	36483	56824
391	36585	56745
392	36759	56776
393	36864	56700
394	36932	56566
395	37015	56458
396	37113	56371
397	37199	56266
398	37292	56172
399	37366	56049
400	37443	55931
401	37527	55824
402	37615	55723
403	37720	55647
404	37836	55587
405	37925	55487
406	38021	55397
407	38112	55300
408	38209	55212
409	38299	55114
410	38386	55011
411	38470	54904
412	38571	54822
413	38652	54710
414	38738	54607
415	38831	54514
416	38910	54400
417	39061	54386
418	39159	54299
419	39228	54172
420	39307	54058
421	39395	53958
422	39490	53867
423	39583	53773
424	39691	53700
425	39778	53598
426	39864	53495
427	39957	53401
428	40027	53277
429	40111	53170
430	40202	53074
431	40269	52946
432	40353	52841
433	40420	52714
434	40522	52633
435	40624	52551
436	40726	52469
437	40846	52410
438	40927	52300
439	41026	52215
440	41102	52099
441	41198	52010
442	41328	51963
443	41413	51859
444	41479	51733
445	41568	51633
446	41628	51500
447	41688	51366
448	41762	51249
449	41849	51148
450	41923	51033
451	42024	50950
452	42118	50858
453	42200	50752
454	42288	50653
455	42370	50547
456	42463	50453
457	42545	50348
458	42642	50260
459	42765	50202
460	42832	50079
461	42905	49963
462	43005	49879
463	43086	49771
464	43174	49673
465	43238	49547
466	43308	49429
467	43379	49311
468	43436	49178
469	43562	49123
470	43655	49031
471	43718	48905
472	43786	48785
473	43878	48692
474	43943	48569
475	44026	48466
476	44089	48341
477	44137	48200
478	44211	48088
479	44306	47999
480	44384	47891
481	44448	47768
482	44514	47648
483	44604	47554
484	44691	47455
485	44782	47362
486	44876	47272
487	44977	47189
488	45059	47087
489	45112	46954
490	45166	46822
491	45265	46737
492	45340	46628
493	45441	46544
494	45529	46448
495	45621	46357
496	45713	46264
497	45836	46204
498	45912	46096
499	45994	45994
500	46083	45899
501	46159	45791
502	46236	45684
503	46305	45570
504	46365	45447
505	46449	45347
506	46562	45276
507	46652	45182
508	46753	45099
509	46848	45011
510	46910	44891
511	46965	44764
512	47064	44678
513	47148	44580
514	47214	44464
515	47310	44376
516	47413	44295
517	47503	44201
518	47591	44107
519	47700	44030
520	47787	43935
521	47896	43859
522	48037	43812
523	48139	43729
524	48231	43638
525	48319	43542
526	48410	43450
527	48494	43350
528	48595	43267
529	48694	43182
530	48770	43076
531	48867	42988
532	48927	42868
533	49025	42782
534	49134	42705
535	49248	42632
536	49326	42529
537	49418	42437
538	49515	42349
539	49611	42261
540	49708	42174
541	49791	42074
542	49874	41975
543	49982	41896
544	50095	41822
545	50212	41751
546	50305	41660
547	50391	41563
548	50476	41465
549	50563	41370
550	50653	41276
551	50755	41192
552	50857	41109
553	50929	41000
554	50998	40890
555	51091	40799
556	51191	40714
557	51285	40623
558	51360	40518
559	51442	40418
560	51543	40334
561	51647	40251
562	51744	40164
563	51825	40063
564	51927	39979
565	52019	39887
566	52085	39775
567	52160	39671
568	52247	39575
569	52312	39463
570	52418	39383
571	52549	39320
572	52623	39215
573	52700	39112
574	52779	39010
575	52862	38912
576	52947	38816
577	53015	38706
578	53102	38611
579	53204	38527
580	53284	38427
581	53355	38320
582	53438	38222
583	53522	38125
584	53628	38044
585	53715	37949
586	53795	37849
587	53878	37751
588	53981	37668
589	54085	37584
590	54171	37488
591	54267	37400
592	54357	37307
593	54457	37222
594	54565	37141
595	54672	37059
596	54799	36991
597	54896	36903
598	54952	36788
599	55052	36701
600	55160	36620
601	55261	36535
602	55329	36427
603	55432	36342
604	55542	36263
605	55643	36177
606	55746	36092
607	55845	36005
608	55934	35912
609	56076	35852
610	56187	35772
611	56298	35692
612	56387	35598
613	56469	35500
614	56535	35392
615	56647	35312
616	56759	35233
617	56864	35149
618	56972	35067
619	57102	34998
620	57205	34912
621	57328	34839
622	57407	34739
623	57477	34633
624	57565	34539
625	57662	34450
626	57771	34368
627	57873	34281
628	57979	34197
629	58081	34111
630	58180	34023
631	58292	33942
632	58380	33847
633	58461	33749
634	58558	33659
635	58653	33568
636	58757	33483
637	58856	33394
638	58923	33288
639	59040	33210
640	59139	33121
641	59234	33030
642	59367	32961
643	59461	32869
644	59526	32762
645	59621	32671
646	59726	32586
647	59824	32497
648	59907	32399
649	60015	32315
650	60121	32231
651	60198	32130
652	60283	32034
653	60352	31929
654	60450	31840
655	60547	31750
656	60651	31664
657	60752	31576
658	60832	31477
659	60903	31374
660	60982	31275
661	61057	31174
662	61155	31085
663	61245	30991
664	61341	30901
665	61452	30818
666	61577	30742
667	61668	30649
668	61764	30559
669	61829	30453
670	61924	30362
671	62009	30266
672	62091	30169
