trip_id,personal_mae,personal_rmse,personal_mbe,personal_stddev,personal_count,global_mae,global_rmse,global_mbe,global_stddev,global_count,segment_count,avg_gt_soc_delta,mae_improvement
0021b2c5-d4c5-56b5-9b73-2b56c434cc9f,1.5588,1.9093,-0.0857,2.0894,6.0,1.4621,2.1438,-1.1864,1.956,6.0,6.0,2.5333,-0.0967
0029ad78-c54c-572d-aa35-275e1abdff42,1.0507,1.2272,0.1319,1.3641,5.0,0.8329,0.9109,-0.0382,1.0176,5.0,5.0,4.52,-0.2179
00ceac48-7314-51dc-9355-994a1f792f94,0.1624,0.1974,-0.0131,0.2274,4.0,0.2912,0.3317,-0.2912,0.1833,4.0,4.0,0.925,0.1288
00ef1d68-4ae1-550b-beb7-a25e432fd0f4,0.3776,0.4605,0.0094,0.4922,8.0,0.5647,0.6838,-0.5097,0.4873,8.0,8.0,3.175,0.187
01642dd2-7781-5971-a341-c0bdd849892d,0.4707,0.5807,-0.0467,0.6341,6.0,0.5088,0.7111,-0.5088,0.5442,6.0,6.0,2.0667,0.0381
018fb2fb-88dd-54c2-aaf2-dd803a3e7beb,0.3713,0.4601,-0.0852,0.4953,6.0,0.3318,0.421,-0.1505,0.4307,6.0,6.0,1.9,-0.0395
01bc935d-9c3f-5be2-b3b6-d263f0f71c1a,1.4398,1.9091,-0.0997,2.1315,5.0,1.1397,1.4929,-0.059,1.6678,5.0,5.0,3.64,-0.3001
01cb6d7c-3f27-5bc2-8159-4a428a88f46a,0.5903,0.8117,0.1934,0.9103,4.0,0.5373,0.7886,0.3878,0.7929,4.0,4.0,2.45,-0.053
02b81a53-76d3-5f5a-b765-b64951f6986d,0.7386,0.9762,0.0658,1.0266,10.0,0.6708,0.8935,0.0097,0.9418,10.0,10.0,2.78,-0.0679
02eda4a5-d613-5ab0-9e69-a30a383bb877,0.933,1.1188,0.0337,1.2503,5.0,1.097,1.322,0.7744,1.1978,5.0,5.0,4.46,0.1639
02fd3343-ace0-5135-a234-32e14ec076c9,0.1884,0.2258,0.0285,0.2394,8.0,0.3673,0.4283,-0.3673,0.2356,8.0,8.0,0.8375,0.1789
03ecc6f8-a8d2-56a5-823d-1f62188a37f2,1.3212,1.5293,0.2551,1.6858,5.0,1.7427,2.3543,1.4213,2.0984,5.0,5.0,4.14,0.4215
040bdbaa-0e8a-53e8-84b4-d702e436f0e3,0.6552,0.723,0.0267,0.8077,5.0,0.6132,0.7716,0.5529,0.6017,5.0,5.0,2.08,-0.042
0460ee80-1f85-51b6-9816-f917687e6d7f,0.9624,1.198,0.0855,1.3798,4.0,1.0763,1.1177,-0.6179,1.0754,4.0,4.0,5.475,0.1139
04e59142-3a95-526b-a3d5-3755e11e1dd2,0.49,0.5088,0.0251,0.5868,4.0,0.3496,0.3906,-0.1245,0.4275,4.0,4.0,1.85,-0.1405
05588da1-693c-5770-bd06-5a279967fd01,0.3709,0.4741,0.0323,0.4876,17.0,0.5582,0.6883,-0.3016,0.6377,17.0,17.0,3.5706,0.1873
05c133be-13f6-557b-85e7-9252af1339ba,0.9312,1.142,0.048,1.3175,4.0,0.6999,0.9773,-0.5473,0.935,4.0,4.0,2.8,-0.2314
06284c07-4e86-5cff-88f5-f5b73661b8a0,0.4573,0.5208,-0.0101,0.6013,4.0,0.2988,0.364,0.0058,0.4203,4.0,4.0,3.475,-0.1586
07429947-7d8e-5188-9673-fc85df6e8fee,2.2167,2.4069,-0.1876,2.7708,4.0,1.4157,1.6599,-0.0922,1.9137,4.0,4.0,4.15,-0.801
07e89af0-72a4-590f-9a7d-2747163fe821,2.3111,2.5968,0.1277,2.8999,5.0,1.9819,2.5786,-1.3325,2.4682,5.0,5.0,4.26,-0.3292
08c227c5-c370-5baa-b49c-f11649c3b050,0.5023,0.6159,0.082,0.6687,6.0,0.8103,0.9287,-0.7369,0.6192,6.0,6.0,2.6167,0.308
094dd221-9432-53cd-8c94-81991cb0106e,1.9297,2.1814,-0.0016,2.5189,4.0,2.2142,2.5405,1.0958,2.6466,4.0,4.0,7.1,0.2846
0998064b-35f8-5271-b45a-92bd68ed6606,0.9014,1.09,0.0586,1.2568,4.0,1.0259,1.0568,-0.5582,1.0362,4.0,4.0,2.225,0.1245
0a70fbf0-d283-562c-86e0-0f48595c876d,1.6663,1.8224,0.2571,2.0833,4.0,1.2044,1.3343,-0.1627,1.5292,4.0,4.0,6.4,-0.4619
0a71e0a2-eb2c-5b4a-9426-06fac5d001b1,1.3478,1.7985,0.1935,2.0647,4.0,1.6052,1.785,-1.0399,1.6752,4.0,4.0,3.825,0.2574
0ae77a5f-7f3f-569a-8876-85d6a3b9900c,0.4621,0.6453,0.0635,0.6769,10.0,0.8343,1.0452,0.8277,0.6728,10.0,10.0,2.66,0.3721
0b4cc829-00b3-544c-8d30-6b20549b1840,0.4598,0.5526,-0.0427,0.6362,4.0,0.4546,0.4975,-0.0842,0.5661,4.0,4.0,2.875,-0.0052
0b6eab65-44ff-5d59-83dd-aefbde85fabd,0.4136,0.4816,-0.0018,0.5561,4.0,0.4161,0.447,0.2588,0.4208,4.0,4.0,1.9,0.0025
0b7c3408-fa3d-5e98-b5dd-183db98cd54f,0.6936,0.7906,-0.0708,0.9093,4.0,0.9636,1.1443,0.9636,0.7126,4.0,4.0,6.35,0.27
0b89b51f-e9af-50ef-929c-656d259b779c,0.463,0.5861,0.0735,0.6501,5.0,0.3358,0.4435,-0.0835,0.4869,5.0,5.0,0.82,-0.1272
0c47db26-57ab-5def-b8aa-c86b10f31526,0.5581,0.6751,-0.1895,0.7482,4.0,0.4344,0.5566,-0.1548,0.6174,4.0,4.0,1.7,-0.1237
0ca3fd65-7dc0-5685-ab0a-b719e04785dc,1.0501,1.1406,0.125,1.3091,4.0,0.8577,0.995,-0.597,0.9191,4.0,4.0,3.85,-0.1924
0cc37888-e408-56a6-9268-743b6471feab,0.1392,0.1655,0.0062,0.191,4.0,0.1139,0.1257,-0.0153,0.1441,4.0,4.0,0.775,-0.0254
0dc6aa73-a217-5ab9-b6c6-ca0a1b324a58,0.5109,0.6071,-0.0338,0.7,4.0,0.5447,0.6213,0.4614,0.4804,4.0,4.0,3.9,0.0337
0de127b9-3eb4-5559-901f-27b2572881e0,1.0522,1.4695,0.3912,1.5836,5.0,1.0863,1.4308,0.2439,1.5763,5.0,5.0,2.5,0.034
0df02251-81d9-526a-9f78-50b407209f88,0.3411,0.3932,-0.0042,0.4541,4.0,0.232,0.3177,-0.137,0.331,4.0,4.0,0.525,-0.1091
0e207e8b-7679-5ac8-bb58-376f3169ed82,0.8992,1.0769,0.0354,1.2428,4.0,0.6313,0.8769,0.3087,0.9478,4.0,4.0,5.375,-0.2679
0eefa116-3767-5dde-aa68-e7de703b178c,0.5254,0.5322,-0.0002,0.6146,4.0,0.4775,0.6038,-0.4775,0.4269,4.0,4.0,3.375,-0.048
0fb0a7c7-bce4-5dc7-8079-3c8de3e90d5c,1.2012,1.2578,-0.0797,1.4495,4.0,0.8142,1.0582,-0.6039,1.0033,4.0,4.0,2.775,-0.3869
